Month	Temp (C)	Precip(cm)	Height(cm)	Deer
0	-1.86	24.77	2.54	1
1	11.42	24.56	8.83	0
2	15.61	33.87	13.56	1
3	17.63	37.58	11.38	2
4	25.32	26.87	6.37	3
5	23.52	22.32	0.00	2
6	23.44	12.16	0.00	1
7	23.90	4.75	0.00	0
8	21.60	1.53	0.00	0
9	10.00	7.78	0.00	1
10	11.69	3.46	2.66	0
11	8.40	11.34	4.64	1
12	9.96	26.28	12.23	2
13	6.19	33.42	15.66	3
14	17.45	36.16	26.78	4
15	23.01	36.19	16.70	5
16	23.92	33.36	4.00	6
17	21.39	17.44	0.00	5
18	30.66	13.93	0.00	4
19	24.51	3.30	0.00	3
20	22.91	3.76	0.00	2
21	14.12	4.27	0.00	1
22	9.14	11.91	0.00	0
23	6.17	11.48	8.43	0
24	7.58	24.24	23.80	1
25	12.88	32.62	37.85	2
26	15.61	33.12	34.88	3
27	18.21	34.32	27.62	4
28	22.81	33.10	17.51	5
29	25.00	18.94	4.81	6
30	31.61	13.64	0.00	5
31	20.66	2.69	0.00	4
32	16.54	4.03	0.00	3
33	11.87	7.84	0.00	2
34	5.86	7.01	0.00	1
35	3.75	13.97	10.14	0
36	-0.62	23.51	28.52	1
37	9.76	29.98	35.89	2
38	13.52	32.18	39.66	3
39	19.58	32.10	33.52	4
40	25.57	26.36	23.37	5
41	27.49	26.09	10.67	6
42	25.64	17.60	0.00	5
43	23.76	10.68	0.00	4
44	18.29	0.00	0.00	3
45	10.58	6.05	0.00	2
46	13.12	6.07	0.00	1
47	6.97	10.74	0.00	0
48	7.22	20.93	13.32	0
49	6.53	28.63	30.60	1
50	16.99	33.03	47.59	2
51	15.52	32.92	42.64	3
52	20.44	31.43	35.41	4
53	29.11	23.95	25.26	5
54	29.11	9.83	12.56	6
55	26.29	8.46	0.00	5
56	21.05	2.67	0.00	4
57	11.47	3.34	0.00	3
58	7.09	9.77	0.00	2
59	0.60	18.55	7.39	1
60	0.09	22.42	18.02	2
61	4.68	28.90	25.13	3
62	11.36	34.64	39.90	4
63	15.72	35.14	34.00	5
64	24.14	30.62	21.62	6
65	30.95	25.88	6.38	7
66	30.23	9.80	0.00	6
67	28.90	3.27	0.00	5
68	16.29	3.26	0.00	4
69	14.52	2.60	0.00	3
70	5.96	9.18	0.00	2
71	8.81	9.75	9.04	1
72	4.67	19.55	14.93	2

